genome_uuid	production_name
a73351f7-93e7-11ec-a39d-005056b38ce3	escherichia_coli_str_k_12_substr_mg1655
2afef36f-3660-4b8c-819b-d1e5a77c9918	mus_musculus_cbaj
980ccf6b-9841-46fa-b313-b068eb9b668a	salmo_salar_gca931346935v2
9caa2cae-d1c8-4cfc-9ffd-2e13bc3e95b1	homo_sapiens_gca018473315v1
65d4f21f-695a-4ed0-be67-5732a551fea4	homo_sapiens_gca018473295v1
2020e8d5-4d87-47af-be78-0b15e48970a7	homo_sapiens_gca018469415v1
114e90e0-aa35-4af6-9204-267c988328c3	homo_sapiens_gca018469425v1
75b7ac15-6373-4ad5-9fb7-23813a5355a4	homo_sapiens_gca018469875v1
ef282def-9a17-4b35-a344-0f0c559e54ab	homo_sapiens_gca018469925v1
1220d766-6fcb-4b80-9106-121f238c0b3d	homo_sapiens_gca018505825v1
8364a820-5485-42d7-a648-1a5eeb858319	homo_sapiens_gca018505865v1
d5d87e18-bcb2-4ef7-94c8-782fb45c17da	mus_musculus_nodshiltj
c3dcaca8-aaee-479f-aad8-c7a5e17b7e10	homo_sapiens_gca018852615v1
56d9b469-097f-48a7-8501-c8416bcbcdfb	homo_sapiens_gca021950905v1
63b4ffbf-0147-4aa7-b0af-7575bb822740	homo_sapiens_gca018852605v1
af073c3e-d087-46b0-bb62-310e89982450	homo_sapiens_gca021951015v1
ae794660-8751-41cc-8883-b2fcdc7a74e8	triticum_aestivum_landmark
c5646bf4-e7c5-446f-8c09-b84cde6daf62	homo_sapiens_gca018471535v1
a0f73c3d-8a6b-4024-b8e6-5ef3babd6166	homo_sapiens_gca018471525v1
f8f527ab-2f72-4676-8860-7ab8504b52d7	homo_sapiens_gca018473305v1
8e42ee2c-7a61-4840-ba1e-aae280168000	homo_sapiens_gca018472855v1
a73356e1-93e7-11ec-a39d-005056b38ce3	plasmodium_falciparum
aa67a6ec-fa98-4051-b3cb-35ac263df95d	homo_sapiens_gca018472865v1
5d2052b4-9d7a-46a5-bb85-d89d0656459a	homo_sapiens_gca018472845v1
feb866f5-ad6e-40c0-a173-ffa6c19c70f2	homo_sapiens_gca018472605v1
c5add743-a0fe-4fb4-b648-851e291cc05b	homo_sapiens_gca018472575v1
bcb4e029-6f91-452c-80e6-b56cf750da84	oryzias_latipes_gca947078845v1
dc98237b-2a1d-4eef-885d-6255d80fea67	homo_sapiens_gca018472835v1
9cc516a8-529e-4919-a429-0d7032e295c9	homo_sapiens_gca018472825v1
b0e6274c-9d1c-4cce-a296-2acdc89d94a4	homo_sapiens_gca018503245v1
a243824f-8ac4-4310-870e-c61430f7f49b	homo_sapiens_gca018503525v1
bd6bfb90-bd5e-46ee-9799-6da19beb7927	homo_sapiens_gca018503585v1
38648b93-6db7-44f7-9d9a-72c517100d38	homo_sapiens_gca018503575v1
8d432f0a-eeb9-4609-b1d8-317ef3511703	homo_sapiens_gca018472595v1
c54a9a5a-2f11-41e1-aeca-873933dc3ee0	homo_sapiens_gca018471515v1
ef299a72-e235-4c94-b0b7-e3ff0630fbec	homo_sapiens_gca018467165v1
e62c9bbf-86af-4b92-8f0f-e8841ec4195e	homo_sapiens_gca018467155v1
d7c7f211-336d-4245-8233-5d82e4f60c64	homo_sapiens_gca018472565v1
d142cee3-efe5-44d4-b645-76feaa1add0b	homo_sapiens_gca018472585v1
37e1dfd4-a5dd-479b-bdbd-6398fa050b79	mus_musculus_lpj
b00f5b0a-b434-4949-9c05-140826c96cd4	oryzias_latipes_gca947078865v1
1aa1f192-8cfe-4ed4-8ab6-6a61b1ea83de	mus_musculus_balbcj
1f22b00a-3fdf-450d-b406-a17759039af6	canis_lupus_familiarisgreatdane
bc23b9d8-e43d-490c-9e33-48a776b0b452	homo_sapiens_gca018504085v1
c6b529c7-2327-4aa8-ba4e-4e2379c39764	homo_sapiens_gca018504055v1
70b02cf3-d006-4a08-a09a-ade8adacbb5f	mus_musculus_akrj
e327126e-c395-4028-a8f9-a36d29436ad9	pan_troglodytes
b97feb81-b1d8-469a-b179-eaa79c99467c	sus_scrofa_tibetan
97f9c5be-41f5-4f55-a114-a9ccec2241b8	sus_scrofa_berkshire
c0970e36-d129-4b82-8e3b-0e3ee3bc3580	rattus_norvegicus_shrutx
b6b019db-e3f8-468d-9d07-6475597b81b0	homo_sapiens_gca018504645v1
08b99cae-d007-4284-b20b-9f222827edb6	homo_sapiens_gca018504365v1
b2a67d8c-8c84-4f56-9555-ad0b3741dd9f	oryzias_latipes_gca947078825v1
e5db98d4-a818-4142-bd95-4b4ada453230	mus_spretus
7c4c8bc7-ccac-419f-af7f-a1d66989bc3b	mus_musculus_aj
a16b4043-fcb9-4fd2-b43f-6ff3b4ba3b83	rattus_norvegicus_wkybbb
aa467e70-871c-4989-99d9-b67306bca51e	oryza_sativa_zs97
93504cc6-ac7e-4157-ac04-21cddc4a82f2	oryza_sativa_natelboro
ed3e4a8a-1af8-4e5b-8ba1-b592f9a11fb6	astyanax_mexicanus_pachon
68bc65fa-aad3-4a44-adc5-d05b500b52ac	homo_sapiens_gca018471345v1
c31a91a1-0e68-452a-8c98-10c383c3f98d	homo_sapiens_gca018471075v1
9d8a59db-8b9a-47cd-b137-9398c554bc73	homo_sapiens_gca018506945v1
72302b6c-69e6-49f9-9bb7-cef922e8efcd	homo_sapiens_gca018506965v1
8ee9a7bd-94b6-4f64-8097-180eb0c42eed	homo_sapiens_gca018503265v1
531ab056-b3b5-4402-bd4e-1d711dc046cb	homo_sapiens_gca018503275v1
36e70e3a-1374-452b-bd69-fcdb71e9d75c	homo_sapiens_gca018467015v1
fc3df422-514f-4b31-a9fb-a1b6ddd762d4	homo_sapiens_gca018467005v1
b9582605-8ca1-4731-a3ab-a4111b2c1c00	homo_sapiens_gca018471065v1
efb8ec1c-73aa-40e6-9280-e062f3c024ae	homo_sapiens_gca018471085v1
f00d538e-3ca6-4390-8d6f-ce99cc851162	oryzias_latipes_gca947076645v1
84af1d3c-3b8a-477d-99d2-128dbfda2e13	mus_musculus_pwkphj
889b2755-df98-40f0-bd06-47f314fd36d2	homo_sapiens_gca018466845v1
df605024-0fbb-47eb-8769-4ef47d76d04c	homo_sapiens_gca018466835v1
6bdd1367-d003-4de4-a205-ba2ca73aec4a	triticum_aestivum_jagger
c44a36bc-75f1-43dc-88ea-decc8573a850	capra_hircus
677591fe-6dc5-4daa-9e51-a3a83ae83a7d	sus_scrofa_hampshire
75040b5b-abb5-4913-8bd3-af4b4777fa87	mus_musculus_dba2j
1b5baf92-a545-4b8c-ae62-69468fecd4c4	oryzias_latipes_gca947078835v1
e355c9df-75a2-411b-a470-36897d4f1515	hordeum_vulgare
750e67f5-4811-441d-be46-a436786dfb27	aegilops_tauschii
7569f6f1-e742-4e50-a829-1e8f2dd6db87	homo_sapiens_gca018852595v1
3d5ca882-670d-4d17-85dc-15185738c40a	homo_sapiens_gca018852585v1
3b8eeeab-70e0-4200-a279-9864849556b3	homo_sapiens_gca018506125v1
2dae4886-5dca-455e-80fc-bb308ea06c93	homo_sapiens_gca018505855v1
